Molecule Name,Smiles,Euclidean Distance,Permeability Value,Diameter
PC(15:0/16:0),CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,31.419256,5.107371882,19.53
PC(15:0/19:0),CCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,31.470665,5.107371882,18.92
PC(12:0/20:0),CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,31.475357,5.107371882,15.68
2-Phosphoglyceric acid,O=C(O)C(CO)OP(=O)(O)O,31.51314,2.39902623,6.75
PC(16:0/21:0),CCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,31.562021,5.107371882,17.43
PC(12:0/23:0),CCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,31.646067,5.107371882,23.47
"PC(24:0/22:2(6Z,13Z))",CCCCCCCC/C=C\CCCCC/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,31.723387,5.62633276,19.57
Gamma Hydroxybutyric Acid,O=C([O-])CCCO,31.81995,22.13282436,5.07
PC(o-18:1(9Z)/24:0),CCCCCCCC/C=C\CCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC,31.8242,5.037521943,20.93
2-Methylhippuric acid,CC1=CC=CC=C1C(=O)NCC(=O)O,31.84701,6.985300779,9.17
Aminomalonic acid,NC(C(=O)O)C(=O)O,31.848461,0.637532491,4.98
PC(12:0/21:0),CCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,31.859623,5.107371882,16.33
PC(12:0/24:0),CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,31.95542,5.107371882,26.02
PC(18:0/19:0),CCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,31.96388,5.107371882,17.6
PC(16:0/19:0),CCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,32.001827,5.107371882,16.03
PC(o-18:1(9Z)/16:0),CCCCCCCC/C=C\CCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,32.035053,6.075387076,19.54
Pyridoxal,CC1=NC=C(CO)C(C=O)=C1O,32.04391,8.570162952,7.19
PC(12:0/19:0),CCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,32.069817,5.107371882,17.08
PC(9:0/22:0),CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,32.130863,5.107371882,19.34
Dimethyl sulfoxide,CS(C)=O,32.172173,53.05773616,4.71
PC(9:0/21:0),CCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,32.361736,5.112182721,26.95
"PC(22:0/18:2(9Z,12Z))",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,32.37456,4.737499729,19.44
Leucyl-Serine,CC(C)CC(N)C(O)=NC(CO)C(=O)O,32.399452,1.505268924,9.2
PC(9:0/20:0),CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,32.405914,5.112182721,17.28
PC(9:0/23:0),CCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,32.41477,5.107371882,30.25
"PC(20:0/20:2(11Z,14Z))",CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,32.52956,4.737499729,21.33
Ethylenediaminetetraacetic acid,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,32.647343,1.438239124,10.06
PC(14:0/22:0),CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,32.650455,5.107371882,20.08
"PC(12:0/20:2(11Z,14Z))",CCCCCC=CC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,32.6816,5.609514192,19.96
Pentyl butanoate,CCCCCOC(=O)CCC,32.68366,91.53915644,10.76
PC(o-16:1(9Z)/20:0),CCCCCC/C=C\CCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC,32.732586,6.075387076,20.03
PC(o-16:1(9Z)/18:0),CCCCCC/C=C\CCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,32.754837,6.075387076,17.1
N-Acetylputrescine,CC(=O)NCCCCN,32.774456,11.96696386,9.04
3-Cresotinic acid,CC1=C(O)C(C(=O)O)=CC=C1,32.790436,20.55656314,7.99
"PC(18:0/20:2(11Z,14Z))",CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,32.79557,5.609514192,15.57
PC(14:0/18:0),CCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,32.863,5.107371882,16.75
PC(16:0/17:0),CCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,32.88666,5.107371882,15.92
L-4-Hydroxyglutamine,N=C(O)C(O)CC(N)C(=O)O,32.898533,0.473859301,7.79
"PC(17:0/18:2(9Z,12Z))",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,32.951843,5.609514192,15.59
2-Methylbenzoic acid,CC1=CC=CC=C1C(=O)O,32.969566,37.77519166,7.24
PC(15:0/17:0),CCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,32.97311,5.107371882,19.72
Aminoadipic acid,NC(CCCC(=O)O)C(=O)O,33.02882,1.634621434,7.06
"PC(13:0/20:2(11Z,14Z))",CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.088634,5.609514192,24.14
PC(14:0/20:0),CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.120983,5.107371882,21.05
"PC(20:0/18:2(9Z,12Z))",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.16203,5.609514192,17.6
"PC(15:0/20:2(11Z,14Z))",CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.175034,5.609514192,16.02
Vanillic acid,COC1=C(O)C=CC(C(=O)O)=C1,33.292828,16.173096,8.2
PC(10:0/22:0),CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.389122,5.107371882,30.25
"PC(16:0/20:2(11Z,14Z))",CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.394714,5.609514192,18.19
PC(14:0/21:0),CCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.39887,5.107371882,31.64
Methanol,CO,33.42951,26.94182396,2.86
3-Hydroxybutyrylcarnitine,CC(O)CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,33.52749,11.1084789,10.09
PC(14:0/19:0),CCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.55528,5.107371882,27.09
"1,2-Benzoquinone",O=C1C=CC=CC1=O,33.55538,55.10511994,5.19
PC(14:0/16:0),CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.623688,5.112182721,18.59
"PC(16:0/18:2(9E,12E))",CCCCC/C=C/C/C=C/CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.62458,5.609514192,19.97
PC(12:0/17:0),CCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.634567,5.112182721,28.63
1-Heptanol,CCCCCCCO,33.6676,43.35625768,8.25
"PC(14:0/20:2(11Z,14Z))",CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.669846,5.609514192,16.68
L-beta-aspartyl-L-aspartic acid,NC(CC(=O)NC(CC(=O)O)C(=O)O)C(=O)O,33.671024,0.253357831,8.67
"PC(18:0/18:2(9Z,12Z))",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.69329,5.609514192,18.53
2-Methylbutyroylcarnitine,CCC(C)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C,33.751934,31.59131408,9.84
PC(10:0/21:0),CCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.75288,5.107371882,26.79
PC(10:0/20:0),CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.753235,5.112182721,28.89
PC(10:0/23:0),CCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.87044,5.107371882,28.6
"PC(13:0/18:2(9Z,12Z))",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.876694,5.609514192,16.78
PC(20:1(11Z)/13:0),CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCC,33.903614,5.609514192,14.89
PC(10:0/24:0),CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.91165,5.107371882,17.54
L-beta-aspartyl-L-glycine,NC(CC(=O)NCC(=O)O)C(=O)O,33.923885,0.826025289,8.75
Isovalerylcarnitine,CC(C)CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,33.93621,37.36586869,10.82
O-Tetradecanoylcarnitine,CCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,33.945934,12.58066446,15.36
Allysine,NC(CCCC=O)C(=O)O,33.949184,6.076801196,8.22
PC(10:0/19:0),CCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.95711,5.112182721,16.63
PC(14:0/15:0),CCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,33.988564,5.112182721,15.5
"PC(15:0/18:2(9Z,12Z))",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,34.01472,5.609514192,14.6
PC(20:1(11Z)/15:0),CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCC,34.075214,5.609514192,26.98
3-Aminobutanoic acid,CC(N)CC(=O)O,34.09345,7.071746886,6.36
PC(14:0/17:0),CCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,34.146797,5.107371882,13.99
Lactitol,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,34.14947,0.195310579,10.1
O-Dodecanoylcarnitine,CCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,34.1526,25.93895793,18.12
"PC(16:0/18:2(9Z,12Z))",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,34.188854,5.609514192,18.85
"PC(17:0/18:3(6Z,9Z,12Z))",CCCCC/C=C\CC=CC/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,34.218616,4.619547352,21.33
3-Aminoisobutanoic acid,CC(CN)C(=O)O,34.23442,8.909198642,6.37
"PC(14:0/18:2(9Z,12Z))",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,34.253742,5.609514192,16.22
"PC(18:3(6Z,9Z,12Z)/17:0)",CCCCC/C=C\CC=CC/C=C\CCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCC,34.27998,4.619547352,15.8
(-)-Limonene,C=C(C)[C@@H]1CC=C(C)CC1,34.32601,47.79784381,8.41
"PC(20:2(11Z,14Z)/12:0)",CCCCCC=CC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,34.336452,5.609514192,16.05
gallic acid,O=C(O)C1=CC(O)=C(O)C(O)=C1,34.398968,2.226837352,8.22
PC(20:1(11Z)/16:0),CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,34.440903,5.609514192,17.5
PC(14:1(9Z)/22:0),CCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC,34.453697,5.609514192,27.91
Glycyl-glycine,NCC(=O)NCC(=O)O,34.455845,2.100357227,6.54
trans-Coniferylaldehyde,COC1=C(O)C=CC(/C=C/C=O)=C1,34.545563,27.68384814,9.85
PC(14:1(9Z)/21:0),CCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCC,34.54696,5.609514192,15.99
2-Ethylacryloylcarnitine,C=C(CC)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C,34.56298,31.74638748,10.7
2-Aminoisobutyric acid,CC(C)(N)C(=O)O,34.599102,5.90913929,5.38
Capryloylcholine,CCCCCCCC(=O)OCC[N+](C)(C)C,34.713,75.67057014,11.67
PC(20:1(11Z)/12:0),CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,34.747547,5.609514192,23.47
PC(20:1(11Z)/18:1(9Z)),CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC,34.807827,5.609514192,15.64
Dimethylglycine,CN(C)CC(=O)O,34.81084,21.70378864,6.41
PC(14:1(9Z)/17:0),CCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCC,34.824196,5.609514192,19.53
PC(18:1(9E)/18:1(9E)),CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C/CCCCCCCC,34.950115,5.609514192,17.06
PC(22:1(13Z)/18:1(9Z)),CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC,34.965775,4.737499729,15.99
PC(20:1(11Z)/14:0),CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC,34.97226,5.609514192,17.98
PC(14:1(9Z)/18:1(9Z)),CCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC,35.036713,5.609514192,19.38
PC(20:1(11Z)/20:1(11Z)),CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\CCCCCCCC,35.134956,4.737499729,17.58
PC(14:1(9Z)/19:0),CCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCC,35.15224,5.609514192,17.37
PC(14:1(9Z)/16:0),CCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,35.17908,5.614798144,17.44
4-Methoxycinnamic acid,COC1=CC=C(/C=C/C(=O)O)C=C1,35.185516,29.08459902,11.57
PC(14:1(9Z)/20:0),CCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC,35.232018,5.609514192,32.49
PC(14:1(9Z)/18:0),CCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,35.277615,5.609514192,18.64
2-Hydroxyphenethylamine,NCC(O)C1=CC=CC=C1,35.290695,9.576643258,7.19
Mevalonic acid,CC(O)(CCO)CC(=O)O,35.29092,5.550960451,7.53
"1,2-diacylglycerol",CC(=O)O[C@@H](CO)COC=O,35.299862,10.85008979,8.61
PC(14:1(9Z)/22:1(13Z)),CCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC,35.33331,5.609514192,18.44
Homovanillic acid,COC1=CC(CC(=O)O)=CC=C1O,35.366516,10.16155556,8.51
PC(14:1(9Z)/20:1(11Z)),CCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\CCCCCCCC,35.369816,5.609514192,17.74
Glycerol,OCC(O)CO,35.387978,7.7326186,4.82
Formic acid,O=CO,35.391407,19.29790378,3.04
Glyceric acid,O=C(O)[C@H](O)CO,35.40175,3.1961523,5.29
3-Phosphoglyceric acid,O=C(O)C(O)COP(=O)(O)O,35.58133,1.950517483,8.14
PC(14:1(9Z)/14:0),CCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC,35.729126,5.614798144,14.73
Phenylacetylglycine,O=C(O)CNC(=O)CC1=CC=CC=C1,35.73654,10.13615504,10.23
Salicyluric acid,O=C(O)CNC(=O)C1=CC=CC=C1O,35.750015,5.097992718,9.19
PC(18:1(9Z)/13:0),CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCC,35.7837,5.609514192,17.98
Hippuric acid,O=C(O)CNC(=O)C1=CC=CC=C1,35.821465,6.380907446,9.23
PC(16:1(9Z)/15:0),CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCC,35.875866,5.609514192,16.42
o-Tyrosine,NC(CC1=CC=CC=C1O)C(=O)O,35.994907,7.431748509,9.35
PC(18:1(9Z)/17:0),CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCC,36.03919,5.609514192,15.31
PC(16:1(9Z)/17:0),CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCC,36.087425,5.609514192,15.63
PC(16:1(9Z)/12:0),CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,36.10218,5.614798144,13.48
PC(18:1(9Z)/15:0),CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCC,36.11521,5.609514192,16.43
Phytanic acid,CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)O,36.174656,13.48369271,17.61
PC(16:1(9Z)/18:1(9Z)),CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC,36.230804,5.609514192,20.48
PC(16:1(9Z)/16:0),CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,36.26709,5.609514192,15.03
PC(16:1(9Z)/19:0),CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCC,36.290688,5.609514192,14.11
PC(16:1(9Z)/18:0),CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,36.327484,5.609514192,20.41
m-Cresol,CC1=CC=CC(O)=C1,36.357178,37.3623997,6.0
Isopropyl beta-D-glucoside,CC(C)OC1OC(CO)C(O)C(O)C1O,36.37301,3.190161288,8.89
PC(16:1(9Z)/16:1(9Z)),CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCC,36.395214,5.609514192,16.39
PC(16:1(9Z)/24:1(15Z)),CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC,36.42023,4.737499729,20.67
3-Hydroxymandelic acid,O=C(O)C(O)C1=CC(O)=CC=C1,36.44804,6.133364141,7.26
PC(18:1(9Z)/16:0),CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,36.454678,5.609514192,15.79
PC(18:1(9Z)/18:0),CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,36.523228,5.609514192,26.4
"LysoPC(18:2(9Z,12Z))",CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C,36.57697,7.360478491,22.12
N-Hydroxy-l-tyrosine,O=C(O)C(CC1=CC=C(O)C=C1)NO,36.633053,3.872910514,10.02
PC(16:1(9Z)/14:0),CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC,36.65405,5.614798144,14.8
PC(17:1(10Z)/17:1(10Z)),CCCCCC/C=C\CCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC/C=C\CCCCCC,36.684048,5.609514192,17.11
PC(18:1(11E)/18:1(11E)),CCCCCC/C=C/CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C/CCCCCC,36.68528,5.609514192,15.71
2-Pyrocatechuic acid,O=C(O)C1=C(O)C(O)=CC=C1,36.687256,3.283507004,7.18
PC(16:1(9Z)/20:1(11Z)),CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\CCCCCCCC,36.71749,5.609514192,20.39
"PC(o-18:0/18:2(9Z,12Z))",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COCCCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,36.735195,6.075387076,15.31
"PC(O-16:0/20:2(11Z,14Z))",CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,36.73693,6.075387076,17.04
"PC(O-16:0/18:2(9Z,12Z))",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,36.757805,6.075387076,16.98
PC(22:1(13Z)/14:0),CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC,36.85749,5.609514192,23.58
PC(18:1(9Z)/14:0),CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC,36.995518,5.609514192,18.36
PC(18:1(9Z)/12:0),CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,37.00524,5.614798144,25.24
p-Cymene,CC1=CC=C(C(C)C)C=C1,37.2406,47.12747335,8.23
Thymol,CC1=CC(O)=C(C(C)C)C=C1,37.26633,31.21887147,8.24
(+)-a-Pinene,CC1=CCC2CC1C2(C)C,37.502144,23.19765538,6.7
p-Cresol,CC1=CC=C(O)C=C1,37.96254,37.3623997,6.89
Hydroxyphenyllactic acid,O=C(O)C(O)CC1=CC=C(O)C=C1,38.14128,6.938484311,10.3
Caffeic acid,O=C(O)/C=C\C1=CC=C(O)C(O)=C1,38.255623,6.499186158,8.42
Phenylacetaldehyde,O=CCC1=CC=CC=C1,38.26142,50.05146861,6.73
